,bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
2036,0,1,Rumble,Sejuani,Lucian,Tristana,Lulu,Gnar,Gragas,Syndra,Xayah,Janna
2037,0,1,Chogath,Sejuani,Orianna,Xayah,Alistar,Gnar,Gragas,Syndra,Sivir,Morgana
2038,1,0,Renekton,Sejuani,Syndra,Tristana,Thresh,JarvanIV,Elise,Vladimir,Sivir,Braum
2039,1,0,Trundle,Gragas,Orianna,Xayah,Alistar,Chogath,Kayn,Cassiopeia,Ashe,Braum
2040,1,0,Chogath,JarvanIV,Leblanc,Sivir,Alistar,Maokai,Sejuani,Orianna,Xayah,Trundle
2041,0,1,Shen,Rengar,Orianna,Xayah,Thresh,Maokai,Gragas,Lucian,Sivir,Alistar
2042,1,0,Chogath,Gragas,Lucian,KogMaw,Morgana,Renekton,Sejuani,Orianna,Draven,Alistar
2043,1,0,Rumble,Sejuani,Cassiopeia,Varus,Alistar,Gnar,Gragas,Velkoz,Jhin,Rakan
2044,0,1,Trundle,Gragas,Galio,Xayah,Rakan,Renekton,Sejuani,Cassiopeia,Tristana,Alistar
2045,1,0,Gnar,Gragas,Syndra,Tristana,Rakan,Kennen,JarvanIV,Corki,Sivir,Thresh
2046,1,0,Maokai,Kayn,Cassiopeia,Tristana,Thresh,Renekton,JarvanIV,Syndra,Sivir,Braum
2047,1,0,JarvanIV,Sejuani,Cassiopeia,Xayah,Rakan,Trundle,Rumble,Syndra,Tristana,Alistar
2048,0,1,Maokai,Sejuani,Syndra,Tristana,Thresh,Rumble,Gragas,Cassiopeia,Sivir,Rakan
2049,0,1,Rumble,Gragas,Corki,Xayah,Rakan,Gnar,Ivern,Cassiopeia,Tristana,Alistar
2050,1,0,Gnar,Gragas,Cassiopeia,Sivir,Braum,Shen,Ivern,Syndra,Tristana,Thresh
2051,1,0,Maokai,Gragas,AurelionSol,Tristana,Alistar,Chogath,Sejuani,Orianna,Sivir,Braum
2052,0,1,Maokai,Sejuani,Cassiopeia,Xayah,Trundle,Chogath,Gragas,Syndra,Sivir,Morgana
2053,1,0,Shen,Gragas,Syndra,Tristana,Janna,Gnar,Sejuani,Corki,Caitlyn,Alistar
2054,1,0,Hecarim,Nunu,Cassiopeia,KogMaw,Morgana,Shyvana,Sejuani,Lulu,Jinx,Thresh
2055,0,1,Shyvana,Sejuani,Cassiopeia,Jinx,Morgana,Hecarim,Gragas,Ziggs,Corki,Nautilus
2056,1,0,Shyvana,Gragas,Ziggs,Urgot,Thresh,Lulu,Sejuani,Cassiopeia,Sivir,Nautilus
2057,1,0,Shyvana,Nunu,Azir,Urgot,Nautilus,Hecarim,Gragas,Vladimir,Sivir,Janna
2058,0,1,Gnar,Nunu,Xerath,Urgot,Alistar,Hecarim,Gragas,Vladimir,Sivir,Nautilus
2059,0,1,Hecarim,Nunu,Ryze,Jinx,Nautilus,Maokai,RekSai,Lulu,Sivir,Thresh
2060,1,0,Maokai,RekSai,Lulu,Lucian,Annie,Gnar,Gragas,Ziggs,Sivir,Thresh
2061,1,0,Maokai,RekSai,Leblanc,Kalista,Thresh,Shyvana,Gragas,Azir,Urgot,Nautilus
2062,0,1,Irelia,Nunu,Azir,Urgot,Nautilus,Gnar,Sejuani,Cassiopeia,Sivir,Thresh
2063,1,0,Gnar,Nunu,Azir,Corki,Alistar,Irelia,Sejuani,Cassiopeia,Sivir,Thresh
2064,0,1,Gnar,Sion,Azir,Sivir,Morgana,Rumble,Sejuani,Cassiopeia,Urgot,Thresh
2065,1,0,Rumble,JarvanIV,Zed,Sivir,Annie,DrMundo,LeeSin,Xerath,Tristana,Thresh
2066,1,0,Maokai,LeeSin,Xerath,Corki,Janna,DrMundo,JarvanIV,Jayce,Tristana,Nami
2067,0,1,Rumble,Khazix,Ahri,Kalista,Braum,Maokai,LeeSin,Leblanc,Tristana,Janna
2068,1,0,Rumble,Pantheon,Kassadin,Corki,Thresh,Jayce,Elise,Xerath,Sivir,Leona
2069,0,1,Rumble,LeeSin,Syndra,Corki,Thresh,Gnar,Pantheon,Lissandra,KogMaw,Nami
2070,0,1,Rumble,JarvanIV,Jayce,Lucian,Thresh,Kassadin,Rengar,Lulu,Corki,Morgana
2071,0,1,Renekton,JarvanIV,Orianna,Tristana,Janna,Kassadin,LeeSin,Fizz,Sivir,Syndra
2072,0,1,Kassadin,LeeSin,Fizz,Lucian,Lulu,Morgana,JarvanIV,Orianna,Corki,Thresh
2073,1,0,Sion,JarvanIV,Ahri,Tristana,Janna,Rumble,LeeSin,Yasuo,KogMaw,Thresh
2074,0,1,Gnar,Rengar,Jayce,Twitch,Morgana,Rumble,LeeSin,Kassadin,Sivir,Annie
2075,0,1,Gnar,LeeSin,Xerath,Sivir,Annie,DrMundo,JarvanIV,Jayce,Corki,Braum
2076,1,0,Lulu,JarvanIV,Ezreal,Sivir,Thresh,Maokai,LeeSin,Ahri,Tristana,Annie
2077,1,0,Gnar,LeeSin,Leblanc,Corki,Thresh,Rumble,JarvanIV,Syndra,Sivir,Sejuani
2078,0,1,Lulu,RekSai,Azir,Sivir,Braum,Rumble,JarvanIV,Lissandra,Corki,Thresh
2079,0,1,Kassadin,LeeSin,Leblanc,Corki,Braum,Gnar,JarvanIV,Lulu,Sivir,Thresh
2080,1,0,Gnar,JarvanIV,Syndra,Corki,Janna,Lissandra,LeeSin,Leblanc,Sivir,Lulu
2081,1,0,Lulu,Rengar,Orianna,Sivir,Janna,Gnar,JarvanIV,Leblanc,Corki,Braum
2082,1,0,Lissandra,LeeSin,Leblanc,Sivir,Annie,Maokai,JarvanIV,Jayce,Kalista,Thresh
2083,1,0,DrMundo,LeeSin,Leblanc,Sivir,Morgana,Gnar,JarvanIV,Ahri,Tristana,Thresh
2084,0,1,Lissandra,LeeSin,Kassadin,Caitlyn,Nami,Maokai,JarvanIV,Lulu,Sivir,Janna
2085,1,0,Kassadin,JarvanIV,Lulu,Corki,Janna,Rumble,LeeSin,Lissandra,Lucian,Thresh
2086,0,1,Lissandra,JarvanIV,Xerath,Sivir,Thresh,Gnar,LeeSin,Ahri,Corki,Annie
2087,0,1,Maokai,JarvanIV,Xerath,Corki,Janna,Lulu,LeeSin,Leblanc,KogMaw,Nami
2088,0,1,Lulu,Rengar,Jayce,Sivir,Thresh,Maokai,JarvanIV,Leblanc,Corki,Morgana
2089,1,0,Gnar,RekSai,Azir,Sivir,Morgana,DrMundo,JarvanIV,Leblanc,Corki,Thresh
2090,1,0,Rumble,LeeSin,Leblanc,Tristana,Janna,Sion,JarvanIV,Azir,Corki,Thresh
2091,0,1,Gnar,JarvanIV,Ahri,Tristana,Morgana,Rumble,LeeSin,Jayce,Corki,Nami
2092,0,1,Maokai,LeeSin,Lulu,Sivir,Veigar,Gnar,JarvanIV,Cassiopeia,Corki,Nami
2093,1,0,Rumble,JarvanIV,Ezreal,Sivir,Annie,Lissandra,LeeSin,Ahri,Corki,Thresh
2094,1,0,Morgana,JarvanIV,Xerath,Sivir,Janna,Lissandra,LeeSin,Ahri,Corki,Lulu
2095,0,1,Gnar,JarvanIV,Kassadin,Sivir,Leona,Maokai,LeeSin,Lissandra,Corki,Annie
2096,0,1,Rumble,Rengar,Ezreal,Sivir,Janna,Gnar,JarvanIV,Azir,Corki,Nami
2097,1,0,Kassadin,LeeSin,Leblanc,Ezreal,Janna,Rumble,JarvanIV,Orianna,Corki,Nami
2098,0,1,Gnar,RekSai,Lulu,Tristana,Nami,Sion,JarvanIV,Lissandra,Corki,Annie
2099,1,0,Gnar,RekSai,Lissandra,Corki,Morgana,DrMundo,LeeSin,Lulu,Tristana,Janna
2100,1,0,Gnar,JarvanIV,Xerath,Sivir,Thresh,DrMundo,LeeSin,Kassadin,Corki,Annie
2101,1,0,Gnar,LeeSin,Xerath,Ezreal,Janna,Rumble,JarvanIV,Zed,Corki,Nami
2102,1,0,Lulu,LeeSin,Xerath,Corki,Thresh,Gnar,JarvanIV,Ahri,Ezreal,Nami
2103,1,0,Lulu,JarvanIV,Kassadin,Sivir,Nami,DrMundo,LeeSin,Cassiopeia,Ezreal,Janna
2104,0,1,Irelia,JarvanIV,Morgana,Sivir,Thresh,DrMundo,RekSai,Kassadin,Kalista,Janna
2105,1,0,Lulu,LeeSin,Kassadin,KogMaw,Nami,Gnar,JarvanIV,Jayce,Tristana,Janna
2106,0,1,Rumble,JarvanIV,Cassiopeia,Caitlyn,Nami,Lulu,LeeSin,Ezreal,KogMaw,Janna
2107,1,0,Morgana,LeeSin,Lissandra,Corki,Janna,Renekton,JarvanIV,Kassadin,Sivir,Nami
2108,0,1,Renekton,LeeSin,Xerath,Sivir,Braum,Gnar,JarvanIV,Ahri,Corki,Janna
2109,0,1,Irelia,JarvanIV,Xerath,Corki,Janna,Gnar,LeeSin,Kassadin,Tristana,Nami
2110,1,0,Gnar,JarvanIV,Xerath,Sivir,Karma,Rumble,LeeSin,Ahri,Corki,Janna
2111,1,0,Maokai,JarvanIV,Ezreal,Caitlyn,Janna,Rengar,LeeSin,Morgana,Corki,Thresh
2112,0,1,Kassadin,LeeSin,Leblanc,Sivir,Janna,Maokai,JarvanIV,Jayce,Corki,Nami
2113,0,1,Sion,JarvanIV,Kassadin,Tristana,Nami,Maokai,RekSai,Azir,Corki,Leona
2114,1,0,Rumble,JarvanIV,Kassadin,Kalista,Janna,Gnar,LeeSin,Xerath,Ezreal,Annie
2115,1,0,Gnar,LeeSin,Xerath,Kalista,Janna,Maokai,JarvanIV,Jayce,Corki,Nami
2116,0,1,DrMundo,LeeSin,Jayce,Corki,Nami,Rumble,JarvanIV,Xerath,Kalista,Janna
2117,0,1,Sion,LeeSin,Kassadin,Draven,Janna,Gnar,JarvanIV,Xerath,Sivir,Thresh
2118,1,0,Gnar,LeeSin,Xerath,Sivir,Thresh,Sion,JarvanIV,Kassadin,Vayne,Janna
2119,1,0,Gnar,JarvanIV,Azir,Corki,Leona,Rumble,RekSai,Kassadin,Kalista,Janna
2120,1,0,Maokai,RekSai,Azir,Ezreal,Leona,Gnar,JarvanIV,Lux,Corki,Janna
2121,0,1,Lulu,JarvanIV,Ezreal,KogMaw,Nami,Rumble,LeeSin,Kassadin,Corki,Janna
2122,1,0,Rumble,JarvanIV,Lissandra,Sivir,Janna,Morgana,LeeSin,Ahri,Corki,Thresh
2123,1,0,Lissandra,JarvanIV,Ezreal,Corki,Janna,Gnar,RekSai,Orianna,Sivir,Morgana
2124,1,0,Lulu,JarvanIV,Ahri,Corki,Nami,Rumble,LeeSin,Kassadin,Ezreal,Janna
2125,1,0,Gnar,RekSai,Kassadin,Lucian,Janna,Maokai,Nidalee,Lulu,Sivir,Thresh
2126,1,0,Lulu,Nidalee,JarvanIV,Graves,Janna,Maokai,RekSai,Xerath,Lucian,Thresh
2127,0,1,Maokai,Khazix,Leblanc,Corki,Leona,Gnar,Rengar,Lissandra,Kalista,Thresh
2128,0,1,Gnar,Nunu,Ezreal,Lucian,Morgana,DrMundo,RekSai,Xerath,Corki,Veigar
2129,0,1,Rumble,JarvanIV,Kassadin,Kalista,Morgana,Gnar,Nunu,Leblanc,Corki,Thresh
2130,1,0,Gnar,RekSai,Kassadin,Corki,Leona,Lissandra,Vi,Azir,Ezreal,Thresh
2131,1,0,Lissandra,JarvanIV,Ezreal,Graves,Veigar,Gnar,Rengar,Lulu,Corki,Leona
2132,1,0,Lissandra,JarvanIV,Xerath,Kalista,Thresh,Hecarim,Nunu,Lulu,Corki,Morgana
2133,1,0,Maokai,JarvanIV,Ahri,Corki,Leona,Lissandra,LeeSin,Lulu,KogMaw,Thresh
2134,1,0,Rumble,JarvanIV,Ezreal,Graves,Veigar,Maokai,Nidalee,Kassadin,Corki,Alistar
2135,0,1,Maokai,Nidalee,Xerath,Jinx,Thresh,Rumble,LeeSin,Ezreal,Corki,Janna
2136,0,1,Lissandra,JarvanIV,Xerath,Graves,Leona,Hecarim,RekSai,Viktor,Corki,Janna
2137,1,0,Maokai,RekSai,Viktor,Lucian,Janna,Hecarim,JarvanIV,Lissandra,Corki,Thresh
2138,0,1,Hecarim,Rengar,Kassadin,Corki,Janna,Maokai,JarvanIV,Cassiopeia,Kalista,Thresh
2139,1,0,Maokai,JarvanIV,Lulu,Corki,Annie,Hecarim,LeeSin,Kassadin,Ezreal,Janna
2140,0,1,Lulu,LeeSin,Ezreal,Corki,Janna,Irelia,JarvanIV,Karthus,Kalista,Thresh
2141,1,0,Maokai,RekSai,Karthus,Kalista,Janna,Hecarim,JarvanIV,Lissandra,Graves,Lulu
2142,0,1,Hecarim,Nidalee,Kassadin,Corki,Janna,Lulu,Rengar,Viktor,Lucian,Annie
2143,1,0,Rumble,JarvanIV,Viktor,Lucian,Janna,Hecarim,LeeSin,Lulu,Corki,Nami
2144,0,1,DrMundo,RekSai,Lissandra,Lucian,Thresh,Maokai,LeeSin,Viktor,Corki,Annie
2145,1,0,Lulu,RekSai,Leblanc,KogMaw,Nami,Maokai,LeeSin,Lissandra,Corki,Annie
2146,1,0,Maokai,Vi,Xerath,Corki,Annie,Lulu,JarvanIV,Ezreal,KogMaw,Janna
2147,1,0,Rumble,Vi,Lissandra,Corki,Leona,Gnar,JarvanIV,Lulu,Graves,Thresh
2148,0,1,Hecarim,LeeSin,Ahri,Corki,Thresh,Maokai,JarvanIV,Viktor,Ezreal,Leona
2149,1,0,Rumble,JarvanIV,Leblanc,Lucian,Janna,Lissandra,LeeSin,Lulu,Corki,Thresh
2150,1,0,Maokai,JarvanIV,Ezreal,Corki,Janna,Hecarim,RekSai,Kassadin,Lucian,Thresh
2151,1,0,Maokai,Nidalee,Karthus,Graves,Janna,Gnar,RekSai,Viktor,Lucian,Thresh
2152,1,0,DrMundo,LeeSin,Xerath,Graves,Janna,Maokai,JarvanIV,Ahri,Corki,Leona
2153,1,0,Maokai,JarvanIV,Ahri,Sivir,Annie,Morgana,Nunu,Ezreal,Corki,Leona
2154,1,0,Nidalee,Vi,Lissandra,Sivir,Thresh,Hecarim,LeeSin,Leblanc,Corki,Annie
2155,0,1,Rumble,JarvanIV,Xerath,Corki,Leona,Maokai,Nidalee,TwistedFate,Ezreal,Thresh
2156,0,1,Gnar,LeeSin,Karthus,KogMaw,Thresh,Maokai,JarvanIV,Viktor,Sivir,Annie
2157,1,0,Lissandra,JarvanIV,Xerath,Graves,Janna,Rumble,LeeSin,TwistedFate,Corki,Thresh
2158,1,0,Hecarim,Udyr,Diana,Kalista,Morgana,Vladimir,JarvanIV,Ezreal,Sivir,Maokai
2159,0,1,Lissandra,LeeSin,Cassiopeia,Kalista,Irelia,Maokai,JarvanIV,Viktor,Lucian,Thresh
2160,1,0,Lulu,RekSai,Diana,KogMaw,Thresh,Maokai,JarvanIV,Xerath,Sivir,Janna
2161,0,1,DrMundo,RekSai,Viktor,Graves,Leona,Maokai,Vi,Ahri,Kalista,Thresh
2162,1,0,Lissandra,LeeSin,Leblanc,Sivir,Leona,Rumble,JarvanIV,Diana,KogMaw,Nami
2163,0,1,Maokai,Nidalee,Leblanc,KogMaw,Nami,Kennen,JarvanIV,Sion,Sivir,Morgana
2164,1,0,Maokai,RekSai,Karthus,Ezreal,Janna,Lissandra,Vi,Morgana,Sivir,Kayle
2165,0,1,Irelia,LeeSin,Xerath,Corki,Janna,Rumble,JarvanIV,Ahri,Graves,Annie
2166,0,1,Irelia,Sejuani,Karthus,Corki,Janna,Gnar,DrMundo,Lissandra,Urgot,Lulu
2167,0,1,Lulu,RekSai,Cassiopeia,KogMaw,Janna,Maokai,Sejuani,Zed,Sivir,Annie
2168,0,1,Lulu,LeeSin,JarvanIV,KogMaw,Thresh,Maokai,Sejuani,Vladimir,Urgot,Morgana
2169,1,0,Sion,Nunu,Vladimir,Sivir,Annie,Maokai,Sejuani,Azir,KogMaw,Morgana
2170,1,0,Gnar,Sejuani,TwistedFate,Sivir,Alistar,Rumble,Nautilus,Urgot,Corki,Janna
2171,0,1,Maokai,RekSai,Urgot,Sivir,Leona,Fizz,Sejuani,TwistedFate,Lucian,Thresh
2172,1,0,Hecarim,Sejuani,Anivia,Urgot,Alistar,Trundle,RekSai,Lissandra,Corki,Annie
2173,0,1,Maokai,JarvanIV,Karthus,Graves,Annie,Hecarim,Sejuani,Vladimir,Kalista,Thresh
2174,1,0,Gnar,Nidalee,Cassiopeia,Kalista,Nautilus,Rumble,Sejuani,Xerath,Twitch,Thresh
2175,0,1,Gnar,Sejuani,Leblanc,Twitch,Alistar,Hecarim,RekSai,Lissandra,Sivir,Nautilus
2176,0,1,Rumble,LeeSin,Vladimir,KogMaw,Morgana,Gnar,Sejuani,Lulu,Ezreal,Kennen
2177,1,0,Gnar,Sejuani,Vladimir,Kalista,Kennen,Rumble,Nunu,Fizz,Graves,Nautilus
2178,0,1,Gnar,Nunu,Chogath,KogMaw,Janna,Maokai,RekSai,Kennen,Sivir,Alistar
2179,1,0,Maokai,Sejuani,Lissandra,Sivir,Thresh,Lulu,Nunu,Ezreal,KogMaw,Janna
2180,1,0,Rumble,Nunu,Chogath,Sivir,Nautilus,Maokai,RekSai,TwistedFate,Lucian,Alistar
2181,0,1,Nautilus,JarvanIV,Xerath,Ezreal,Janna,Kennen,RekSai,Chogath,Corki,Blitzcrank
2182,0,1,Morgana,Gragas,Xerath,Sivir,Janna,Kennen,JarvanIV,Leblanc,Corki,Nautilus
2183,1,0,Hecarim,Sejuani,Kennen,KogMaw,Thresh,Rumble,JarvanIV,Lissandra,Sivir,Janna
2184,1,0,Rumble,Nunu,Vladimir,Urgot,Thresh,Maokai,LeeSin,Xerath,Kalista,Irelia
2185,0,1,Hecarim,RekSai,Chogath,Graves,Kennen,Jax,Nunu,Malzahar,Sivir,Nautilus
2186,0,1,Gnar,Nautilus,Azir,Graves,Kennen,Rumble,Nunu,Lulu,Sivir,Janna
2187,1,0,Gnar,Sejuani,Cassiopeia,Sivir,Janna,Hecarim,Nunu,Azir,KogMaw,Nami
2188,0,1,Maokai,Nidalee,Cassiopeia,Lucian,Nami,Rumble,RekSai,Xerath,Ezreal,Nautilus
2189,0,1,Hecarim,JarvanIV,Xerath,Ezreal,Braum,RekSai,Nidalee,Zed,Sivir,Nautilus
2190,1,0,Hecarim,Nunu,Chogath,Sivir,Alistar,Gnar,Nidalee,Lulu,Tristana,Thresh
2191,0,1,Gnar,RekSai,Leblanc,Lucian,Janna,Maokai,Gragas,Kassadin,Vayne,Alistar
2192,0,1,Gnar,Gragas,Cassiopeia,Corki,Alistar,Maokai,Evelynn,Ahri,Lucian,Annie
2193,1,0,Maokai,JarvanIV,Zed,Corki,Morgana,Gnar,Sejuani,Leblanc,Lucian,Thresh
2194,1,0,Hecarim,Nunu,Azir,Lucian,Janna,Maokai,LeeSin,Fizz,Sivir,Nautilus
2195,0,1,Maokai,Gragas,Ziggs,Lucian,Alistar,Gnar,RekSai,Lulu,Jinx,Thresh
2196,0,1,Maokai,RekSai,Ziggs,Vayne,Nautilus,Hecarim,Gragas,Vladimir,Sivir,Thresh
2197,0,1,Maokai,Evelynn,Leblanc,Ezreal,Alistar,Rumble,Sejuani,Jayce,Sivir,Thresh
2198,0,1,Hecarim,Gragas,Vladimir,Sivir,Morgana,Rumble,Sejuani,Cassiopeia,Jinx,Thresh
2199,1,0,Gnar,Sejuani,Azir,Jinx,Alistar,Hecarim,Nunu,Cassiopeia,Sivir,Morgana
2200,0,1,Maokai,LeeSin,Morgana,Kalista,Alistar,Hecarim,RekSai,Leblanc,Urgot,Braum
2201,1,0,Hecarim,Sejuani,Azir,Ezreal,Alistar,Maokai,LeeSin,Cassiopeia,Urgot,Thresh
2202,0,1,Kassadin,RekSai,Cassiopeia,Corki,Thresh,Rumble,Gragas,Yasuo,Sivir,Janna
2203,1,0,Hecarim,Gragas,Azir,Urgot,Alistar,Rumble,RekSai,Lulu,KogMaw,Nautilus
2204,0,1,Kennen,Sejuani,Lulu,Sivir,Nautilus,Rumble,Nunu,Ezreal,Lucian,Alistar
2205,0,1,Maokai,RekSai,Vladimir,Lucian,Lulu,Nautilus,Gragas,Ahri,Vayne,Alistar
2206,0,1,Maokai,RekSai,Ahri,Sivir,Nautilus,Gnar,Gragas,Kassadin,Corki,Morgana
2207,0,1,Gnar,RekSai,Lulu,Sivir,Annie,Maokai,Sejuani,Ahri,Vayne,Alistar
2208,1,0,Rumble,Gragas,Lulu,Vayne,Alistar,Hecarim,RekSai,Vladimir,Lucian,Thresh
2209,0,1,Gnar,Evelynn,Leblanc,Kalista,Thresh,Rumble,Sejuani,Lulu,Urgot,Alistar
2210,1,0,Yasuo,Gragas,Leblanc,Sivir,Nautilus,Gnar,RekSai,Kassadin,Urgot,Thresh
2211,1,0,Maokai,LeeSin,Cassiopeia,Vayne,Nautilus,Lulu,RekSai,Orianna,Jinx,Alistar
2212,0,1,Hecarim,Evelynn,Leblanc,Sivir,Alistar,Shyvana,Nunu,Azir,Jinx,Thresh
2213,0,1,Rumble,Gragas,Lulu,Jinx,Thresh,Gnar,RekSai,TwistedFate,Sivir,Bard
2214,0,1,RekSai,LeeSin,TwistedFate,Corki,Bard,Maokai,Sejuani,Kassadin,Lucian,Alistar
2215,0,1,Gnar,RekSai,Lulu,Jinx,Thresh,Riven,Evelynn,TwistedFate,Sivir,Alistar
2216,0,1,Maokai,Sejuani,Ahri,Vayne,Nunu,Rumble,RekSai,Cassiopeia,Corki,Alistar
2217,1,0,Nunu,Sejuani,Varus,Lucian,Janna,Gnar,RekSai,Lulu,Jinx,Thresh
2218,0,1,Nautilus,Gragas,Lulu,Jinx,Morgana,Hecarim,RekSai,Cassiopeia,Corki,Alistar
2219,0,1,Gnar,Gragas,Lulu,Kalista,Thresh,Hecarim,Sejuani,Leblanc,Sivir,Alistar
2220,0,1,Hecarim,Sejuani,Lulu,Jinx,Nautilus,Gnar,Gragas,Cassiopeia,Sivir,Alistar
2221,1,0,Rumble,Nunu,Azir,Vayne,Thresh,Irelia,RekSai,Leblanc,Sivir,Alistar
2222,0,1,Maokai,Sejuani,Vladimir,Jinx,Alistar,Rumble,Nunu,Varus,Sivir,Janna
2223,0,1,Rumble,RekSai,Varus,Vayne,Alistar,Maokai,Evelynn,Cassiopeia,Kalista,Annie
2224,1,0,Maokai,Evelynn,Cassiopeia,Sivir,Braum,Rumble,RekSai,Yasuo,Corki,Alistar
2225,1,0,Rumble,Evelynn,Irelia,Corki,Alistar,Hecarim,Gragas,Azir,Sivir,Janna
2226,0,1,RekSai,Evelynn,Azir,Sivir,Nautilus,Maokai,Gragas,KogMaw,Vayne,Janna
2227,1,0,Ryze,Nidalee,Leblanc,Sivir,Alistar,Rumble,Evelynn,Azir,Vayne,Veigar
2228,1,0,Maokai,RekSai,Leblanc,Corki,Nautilus,Ryze,Nidalee,Azir,Lucian,Thresh
2229,1,0,Maokai,Nidalee,Azir,Kalista,Thresh,RekSai,Evelynn,Cassiopeia,Varus,Nami
2230,1,0,Hecarim,Gragas,Cassiopeia,Tristana,Nautilus,Gnar,Sejuani,Azir,Sivir,Janna
2231,0,1,Maokai,Evelynn,Leblanc,Lucian,Janna,Rumble,RekSai,Kassadin,Sivir,Nautilus
2232,1,0,Rumble,Evelynn,Cassiopeia,Corki,Alistar,Maokai,Gragas,Azir,Vayne,Janna
2233,1,0,Rumble,Nunu,Jayce,Corki,Alistar,Gnar,Gragas,Azir,Ezreal,Bard
2234,1,0,Maokai,LeeSin,Cassiopeia,Sivir,Thresh,Rumble,Sejuani,Azir,Corki,Nautilus
2235,0,1,Rumble,Sejuani,Leblanc,Jinx,Thresh,Maokai,RekSai,Lissandra,Sivir,Nautilus
2236,1,0,Gnar,Gragas,Cassiopeia,Corki,Nautilus,Rumble,Evelynn,Varus,Lucian,Alistar
2237,0,1,Maokai,Evelynn,Ahri,Lucian,Alistar,Rumble,Gragas,Vladimir,Corki,Janna
2238,0,1,Rumble,Evelynn,Cassiopeia,Ezreal,Braum,Hecarim,Gragas,Fizz,Corki,Nautilus
2239,1,0,Maokai,RekSai,Viktor,Ezreal,Thresh,Hecarim,Nidalee,Cassiopeia,Corki,Nautilus
2240,1,0,Rumble,Gragas,Varus,Vayne,Thresh,Maokai,Sejuani,Cassiopeia,Kalista,Alistar
2241,1,0,Fizz,Rengar,Leblanc,Sivir,Alistar,Rumble,Sejuani,Varus,Vayne,Thresh
2242,0,1,Rumble,Gragas,Azir,Tristana,Janna,Maokai,RekSai,Cassiopeia,Kalista,Alistar
2243,0,1,Fizz,RekSai,Viktor,Vayne,Thresh,Rumble,Evelynn,Leblanc,Sivir,Nautilus
2244,1,0,Hecarim,LeeSin,Viktor,Kalista,Alistar,Rumble,RekSai,TwistedFate,Tristana,Thresh
2245,1,0,Gnar,RekSai,Viktor,Kalista,Thresh,Rumble,LeeSin,Ahri,Lucian,Alistar
2246,1,0,Hecarim,Gragas,Viktor,Vayne,Thresh,Rumble,RekSai,Orianna,Sivir,Alistar
2247,1,0,Rumble,Nunu,Ahri,Kalista,Alistar,Gnar,RekSai,Viktor,Vayne,Janna
2248,0,1,Ryze,Nunu,Orianna,Ezreal,Thresh,Rumble,Gragas,Varus,Corki,Alistar
2249,1,0,Riven,Gragas,Varus,Corki,Karma,Rumble,Evelynn,Ahri,Draven,Braum
2250,0,1,Maokai,Fizz,Viktor,Vayne,Alistar,Rumble,RekSai,Kassadin,Kalista,Nautilus
2251,0,1,Rumble,RekSai,Viktor,Corki,Braum,Maokai,Sejuani,Cassiopeia,Sivir,Nautilus
2252,0,1,Maokai,RekSai,Lulu,KogMaw,Alistar,Vladimir,Sejuani,Varus,Sivir,Nautilus
2253,0,1,Maokai,Sejuani,Azir,Sivir,Alistar,Gnar,Evelynn,Viktor,Vayne,Janna
2254,1,0,Morgana,RekSai,MasterYi,Kalista,Annie,Rumble,Nidalee,Urgot,Sivir,Alistar
2255,1,0,Ryze,Evelynn,Zed,Lucian,Annie,Hecarim,LeeSin,Viktor,Sivir,Nautilus
2256,0,1,Maokai,Nunu,Viktor,Sivir,Thresh,Hecarim,RekSai,Cassiopeia,Lucian,Nautilus
2257,1,0,Maokai,Evelynn,Cassiopeia,Vayne,Alistar,Rumble,RekSai,Xerath,Sivir,Nautilus
2258,1,0,Rumble,RekSai,Lulu,Sivir,Annie,Maokai,Evelynn,Leblanc,Vayne,Karma
2259,0,1,Rumble,RekSai,Leblanc,Corki,Nautilus,Riven,Gragas,Kassadin,Sivir,Annie
2260,0,1,Rumble,Gragas,Varus,Corki,Thresh,Maokai,RekSai,TwistedFate,Sivir,Annie
2261,0,1,Hecarim,RekSai,Viktor,Corki,Alistar,Maokai,Gragas,Ahri,Kalista,Kennen
2262,1,0,Rumble,Rengar,Kassadin,Sivir,Alistar,Hecarim,Gragas,Viktor,Vayne,Thresh
2263,1,0,Maokai,Nidalee,Viktor,Sivir,Nautilus,Hecarim,Evelynn,Ekko,Corki,Annie
2264,0,1,Fizz,RekSai,Leblanc,Vayne,Nautilus,Maokai,Nidalee,Viktor,Lucian,Janna
2265,0,1,Maokai,Gragas,Azir,Tristana,Thresh,Rumble,Evelynn,Varus,Sivir,Nautilus
2266,1,0,Hecarim,Evelynn,TwistedFate,Corki,Alistar,Maokai,Ekko,Fizz,Jinx,Nautilus
2267,1,0,Rumble,RekSai,Azir,Corki,Annie,Galio,Sejuani,Varus,Sivir,Janna
2268,0,1,Hecarim,Gragas,Cassiopeia,Lucian,Thresh,Rumble,RekSai,Varus,Corki,Alistar
2269,1,0,Maokai,LeeSin,Kassadin,Sivir,Thresh,Gnar,RekSai,Viktor,Corki,Annie
2270,0,1,Rumble,Gragas,Azir,Corki,Bard,Hecarim,RekSai,Zed,Lucian,Alistar
